C_FULLNAME;C_NAME;C_BASECODE;HPDS_PATH
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\11259-9\;Hepatitis C virus RNA [Presence] by Probe and target amplification;LOINC:11259-9;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Presence] by Probe and target amplification
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\20416-4\;Hepatitis C virus RNA [#/volume] by Probe and target amplification copies/mL;LOINC:20416-4;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [#/volume] by Probe and target amplification copies/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\20571-6\;Hepatitis C virus RNA [#/volume]  by Probe and signal amplification 10*6 eq/mL;LOINC:20571-6;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [#/volume]  by Probe and signal amplification 10*6 eq/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\29609-5\;Hepatitis C virus RNA [Units/volume] by Probe and signal amplification IU/mL;LOINC:29609-5;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and signal amplification IU/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\34703-9\;Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 500 IU/mL;LOINC:34703-9;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 500 IU/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\34704-7\;Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 50 IU/mL;LOINC:34704-7;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 50 IU/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\38180-6\;Hepatitis C virus RNA [Log units/volume] by Probe and target amplification log IU/mL;LOINC:38180-6;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log units/volume] by Probe and target amplification log IU/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\42003-4\;Hepatitis C virus RNA [Log #/volume] by Probe and signal amplification log copies/mL;LOINC:42003-4;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log #/volume] by Probe and signal amplification log copies/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\42617-1\;Hepatitis C virus RNA [Log units/volume] by Probe and signal amplification log IU/mL;LOINC:42617-1;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log units/volume] by Probe and signal amplification log IU/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\47252-2\;Hepatitis C virus RNA [Log #/volume] by Probe and target amplification log copies/mL;LOINC:47252-2;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log #/volume] by Probe and target amplification log copies/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\49758-6\;Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 5 IU/mL;LOINC:49758-6;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 5 IU/mL
\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\;Hepatitis C virus Ab;LOINC:LP43019-6;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab
\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\13955-0\;Hepatitis C virus Ab [Presence] in Serum by Immunoassay;LOINC:13955-0;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\16128-1\;Hepatitis C virus Ab [Presence] in Serum;LOINC:16128-1;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\22327-1\;Hepatitis C virus Ab [Units/Volume] in Serum;LOINC:22327-1;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\5198-7\;Hepatitis C virus Ab [Units/Volume] in Serum by Immunoassay;LOINC:5198-7;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\5199-5\;Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB);LOINC:5199-5;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB)
\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\72376-7\;Hepatitis C virus Ab [Presence] in Serum by Rapid immunoassay;LOINC:72376-7;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum by Rapid immunoassay
\ACT\Labs\LP14855-8\LP14400-3\LP44597-0\;Hepatitis C virus IgG;LOINC:LP44597-0;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgG
\ACT\Labs\LP14855-8\LP14400-3\LP44597-0\16129-9\;Hepatitis C virus IgG Ab [Presence] in Serum;LOINC:16129-9;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgG\Hepatitis C virus IgG Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP14400-3\LP44597-0\16936-7\;Hepatitis C virus IgG Ab [Units/Volume] in Serum;LOINC:16936-7;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgG\Hepatitis C virus IgG Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP14400-3\LP44597-0\33462-3\;Hepatitis C virus IgG Ab [Presence] in Serum by Immunoblot (IB);LOINC:33462-3;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgG\Hepatitis C virus IgG Ab [Presence] in Serum by Immunoblot (IB)
\ACT\Labs\LP14855-8\LP14400-3\LP44597-0\40726-2\;Hepatitis C virus IgG Ab [Presence] in Serum by Immunoassay;LOINC:40726-2;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgG\Hepatitis C virus IgG Ab [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14400-3\LP44597-0\57006-9\;Hepatitis C virus IgG Ab [Units/Volume] in Serum by Immunoassay;LOINC:57006-9;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgG\Hepatitis C virus IgG Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14400-3\LP66758-1\;Hepatitis C virus IgM;LOINC:LP66758-1;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgM
\ACT\Labs\LP14855-8\LP14400-3\LP66758-1\51824-1\;Hepatitis C virus IgM Ab [Units/Volume] in Serum by Immunoassay;LOINC:51824-1;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgM\Hepatitis C virus IgM Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14400-3\LP66758-1\53376-0\;Hepatitis C virus IgM Ab [Units/Volume] in Serum;LOINC:53376-0;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus IgM\Hepatitis C virus IgM Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP17126-1\;HIV;LOINC:LP17126-1;\ACT Lab Test Results\Virus\HIV
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\;HIV 1 Ab;LOINC:LP42700-2;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\14092-1\;HIV 1 Ab [Presence] in Serum by Immunofluorescence;LOINC:14092-1;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Presence] in Serum by Immunofluorescence
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\22356-0\;HIV 1 Ab [Units/Volume] in Serum;LOINC:22356-0;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\29893-5\;HIV 1 Ab [Presence] in Serum by Immunoassay;LOINC:29893-5;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\43599-0\;HIV 1 Ab [Units/Volume] in Serum by Immunofluorescence;LOINC:43599-0;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Units/Volume] in Serum by Immunofluorescence
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\5220-9\;HIV 1 Ab [Units/Volume] in Serum by Immunoassay;LOINC:5220-9;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\5221-7\;HIV 1 Ab [Presence] in Serum by Immunoblot (IB);LOINC:5221-7;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Presence] in Serum by Immunoblot (IB)
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\68961-2\;HIV 1 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay;LOINC:68961-2;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay
\ACT\Labs\LP14855-8\LP17126-1\LP42700-2\7917-8\;HIV 1 Ab [Presence] in Serum;LOINC:7917-8;\ACT Lab Test Results\Virus\HIV\HIV 1 Ab\HIV 1 Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP17126-1\LP45066-5\;HIV 1 Ag;LOINC:LP45066-5;\ACT Lab Test Results\Virus\HIV\HIV 1 Ag
\ACT\Labs\LP14855-8\LP17126-1\LP45066-5\16976-3\;HIV 1 Ag [Units/Volume] in Serum;LOINC:16976-3;\ACT Lab Test Results\Virus\HIV\HIV 1 Ag\HIV 1 Ag [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP17126-1\LP45066-5\24012-7\;HIV 1 Ag [Presence] in Serum;LOINC:24012-7;\ACT Lab Test Results\Virus\HIV\HIV 1 Ag\HIV 1 Ag [Presence] in Serum
\ACT\Labs\LP14855-8\LP17126-1\LP45066-5\5222-5\;HIV 1 Ag [Presence] in Serum by Immunoassay;LOINC:5222-5;\ACT Lab Test Results\Virus\HIV\HIV 1 Ag\HIV 1 Ag [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP17126-1\LP47065-5\;HIV 2 Ab;LOINC:LP47065-5;\ACT Lab Test Results\Virus\HIV\HIV 2 Ab
\ACT\Labs\LP14855-8\LP17126-1\LP47065-5\22358-6\;HIV 2 Ab [Units/Volume] in Serum;LOINC:22358-6;\ACT Lab Test Results\Virus\HIV\HIV 2 Ab\HIV 2 Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP17126-1\LP47065-5\30361-0\;HIV 2 Ab [Presence] in Serum by Immunoassay;LOINC:30361-0;\ACT Lab Test Results\Virus\HIV\HIV 2 Ab\HIV 2 Ab [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP17126-1\LP47065-5\5224-1\;HIV 2 Ab [Units/Volume] in Serum by Immunoassay;LOINC:5224-1;\ACT Lab Test Results\Virus\HIV\HIV 2 Ab\HIV 2 Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP17126-1\LP47065-5\5225-8\;HIV 2 Ab [Presence] in Serum by Immunoblot (IB);LOINC:5225-8;\ACT Lab Test Results\Virus\HIV\HIV 2 Ab\HIV 2 Ab [Presence] in Serum by Immunoblot (IB)
\ACT\Labs\LP14855-8\LP17126-1\LP47065-5\7919-4\;HIV 2 Ab [Presence] in Serum;LOINC:7919-4;\ACT Lab Test Results\Virus\HIV\HIV 2 Ab\HIV 2 Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP17126-1\LP55190-0\;HIV DNA;LOINC:LP55190-0;\ACT Lab Test Results\Virus\HIV\HIV DNA
\ACT\Labs\LP14855-8\LP17126-1\LP55190-0\9836-8\;HIV DNA [Presence] by Probe with amplification;LOINC:9836-8;\ACT Lab Test Results\Virus\HIV\HIV DNA\HIV DNA [Presence] by Probe with amplification
\ACT\Labs\LP31755-9\;Microbiology;LOINC:LP31755-9;\ACT Lab Test Results\Microbiology
\ACT\Labs\LP31755-9\LP18171-6\;Tuberculosis Interferon;LOINC:LP18171-6;\ACT Lab Test Results\Microbiology\Tuberculosis Interferon
\ACT\Labs\LP31755-9\LP18171-6\LP149695-1\;Mycobacterium tuberculosis stimulated gamma interferon;LOINC:LP149695-1;\ACT Lab Test Results\Microbiology\Tuberculosis Interferon\Mycobacterium tuberculosis stimulated gamma interferon
\ACT\Labs\LP31755-9\LP18171-6\LP149695-1\46217-6\;Mycobacterium tuberculosis stimulated gamma interferon [Units/Volume] in Blood;LOINC:46217-6;\ACT Lab Test Results\Microbiology\Tuberculosis Interferon\Mycobacterium tuberculosis stimulated gamma interferon\Mycobacterium tuberculosis stimulated gamma interferon [Units/Volume] in Blood
\ACT\Labs\LP31755-9\LP18171-6\LP149695-1\71773-6\;Mycobacterium tuberculosis stimulated gamma interferon [Presence] in Blood;LOINC:71773-6;\ACT Lab Test Results\Microbiology\Tuberculosis Interferon\Mycobacterium tuberculosis stimulated gamma interferon\Mycobacterium tuberculosis stimulated gamma interferon [Presence] in Blood
\ACT\Labs\LP31755-9\LP18171-6\LP71013-4\;Mycobacterium tuberculosis Mitogen stimulated gamma interferon;LOINC:LP71013-4;\ACT Lab Test Results\Microbiology\Tuberculosis Interferon\Mycobacterium tuberculosis Mitogen stimulated gamma interferon
\ACT\Labs\LP31755-9\LP18171-6\LP71013-4\39017-9\;Mycobacterium tuberculosis Mitogen stimulated gamma interferon [Units/Volume] in Blood;LOINC:39017-9;\ACT Lab Test Results\Microbiology\Tuberculosis Interferon\Mycobacterium tuberculosis Mitogen stimulated gamma interferon\Mycobacterium tuberculosis Mitogen stimulated gamma interferon [Units/Volume] in Blood
\ACT\Labs\LP31755-9\LP18171-6\LP71013-4\45323-3\;Mycobacterium tuberculosis Mitogen stimulated gamma interferon  [Presence] in Blood;LOINC:45323-3;\ACT Lab Test Results\Microbiology\Tuberculosis Interferon\Mycobacterium tuberculosis Mitogen stimulated gamma interferon\Mycobacterium tuberculosis Mitogen stimulated gamma interferon  [Presence] in Blood
\ACT\Labs\LP31755-9\LP39544-9\;Reagin Ab;LOINC:LP39544-9;\ACT Lab Test Results\Microbiology\Reagin Ab
\ACT\Labs\LP31755-9\LP39544-9\LP41330-9\;Reagin Ab in serum;LOINC:LP41330-9;\ACT Lab Test Results\Microbiology\Reagin Ab\Reagin Ab in serum
\ACT\Labs\LP31755-9\LP39544-9\LP41330-9\11084-1\;Reagin Ab [Titer] in Serum;LOINC:11084-1;\ACT Lab Test Results\Microbiology\Reagin Ab\Reagin Ab in serum\Reagin Ab [Titer] in Serum
\ACT\Labs\LP31755-9\LP39544-9\LP41330-9\20507-0\;Reagin Ab [Presence] in Serum by RPR;LOINC:20507-0;\ACT Lab Test Results\Microbiology\Reagin Ab\Reagin Ab in serum\Reagin Ab [Presence] in Serum by RPR
\ACT\Labs\LP31755-9\LP39544-9\LP41330-9\20508-8\;Reagin Ab [Units/Volume] in Serum by RPR;LOINC:20508-8;\ACT Lab Test Results\Microbiology\Reagin Ab\Reagin Ab in serum\Reagin Ab [Units/Volume] in Serum by RPR
\ACT\Labs\LP31755-9\LP39544-9\LP41330-9\22461-8\;Reagin Ab [Presence] in Serum;LOINC:22461-8;\ACT Lab Test Results\Microbiology\Reagin Ab\Reagin Ab in serum\Reagin Ab [Presence] in Serum
