"C_HLEVEL";"C_FULLNAME";"C_NAME";"C_SYNONYM_CD";"C_VISUALATTRIBUTES";"C_TOTALNUM";"C_BASECODE";"C_METADATAXML";"C_FACTTABLECOLUMN";"C_TABLENAME";"C_COLUMNNAME";"C_COLUMNDATATYPE";"C_OPERATOR";"C_DIMCODE";"C_COMMENT";"C_TOOLTIP";"M_APPLIED_PATH";"UPDATE_DATE";"DOWNLOAD_DATE";"IMPORT_DATE";"SOURCESYSTEM_CD";"VALUETYPE_CD";"M_EXCLUSION_CD";"C_PATH";"C_SYMBOL";"HPDS_PATH"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\5198-7\";"Hepatitis C virus Ab [Units/Volume] in Serum by Immunoassay";"";"";"";"LOINC:5198-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP38332-0\5198-7\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Units/Volume] in Serum by Immunoassay";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Units/Volume] in Serum by Immunoassay"
"4";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\";"ESR";"";"";"";"LOINC:LP45671-2";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\18184-2\";"ESR by 2H Westergren method";"";"";"";"LOINC:18184-2";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\18184-2\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by 2H Westergren method";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by 2H Westergren method"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\30341-2\";"ESR";"";"";"";"LOINC:30341-2";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\30341-2\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\43402-7\";"ESR by 15 minute reading";"";"";"";"LOINC:43402-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\43402-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by 15 minute reading";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by 15 minute reading"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\4537-7\";"ESR by Westergren method";"";"";"";"LOINC:4537-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\4537-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by Westergren method";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by Westergren method"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\4538-5\";"ESR by Wintrobe method";"";"";"";"LOINC:4538-5";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP45671-2\4538-5\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by Wintrobe method";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\ESR\ESR by Wintrobe method"
"4";"\ACT\Labs\LP31756-7\LP30786-5\LP46692-7\";"RDW";"";"";"";"LOINC:LP46692-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP46692-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\RDW";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\RDW"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP46692-7\21000-5\";"RDW by Automated count";"";"";"";"LOINC:21000-5";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP46692-7\21000-5\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\RDW\RDW by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\RDW\RDW by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP46692-7\30384-2\";"RDW";"";"";"";"LOINC:30384-2";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP46692-7\30384-2\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\RDW\RDW";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\RDW\RDW"
"4";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\";"Neutrophils";"";"";"";"LOINC:LP47720-5";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\23761-0\";"Neutrophils/100 leukocytes by Manual count";"";"";"";"LOINC:23761-0";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\23761-0\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils/100 leukocytes by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils/100 leukocytes by Manual count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\26499-4\";"Neutrophils";"";"";"";"LOINC:26499-4";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\26499-4\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\26511-6\";"Neutrophils/100 leukocytes";"";"";"";"LOINC:26511-6";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\26511-6\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils/100 leukocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils/100 leukocytes"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\751-8\";"Neutrophils by Automated count";"";"";"";"LOINC:751-8";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\751-8\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\753-4\";"Neutrophils by Manual count";"";"";"";"LOINC:753-4";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\753-4\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils by Manual count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\770-8\";"Neutrophils/100 leukocytes by Automated count";"";"";"";"LOINC:770-8";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP47720-5\770-8\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils/100 leukocytes by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Neutrophils\Neutrophils/100 leukocytes by Automated count"
"4";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\";"Basophils";"";"";"";"LOINC:LP48336-9";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\26444-0\";"Basophils";"";"";"";"LOINC:26444-0";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\26444-0\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\30180-4\";"Basophils/100 leukocytes";"";"";"";"LOINC:30180-4";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\30180-4\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils/100 leukocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils/100 leukocytes"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\704-7\";"Basophils by Automated count";"";"";"";"LOINC:704-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\704-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\705-4\";"Basophils by Manual count";"";"";"";"LOINC:705-4";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\705-4\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils by Manual count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\706-2\";"Basophils/100 leukocytes by Automated count";"";"";"";"LOINC:706-2";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\706-2\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils/100 leukocytes by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils/100 leukocytes by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\707-0\";"Basophils/100 leukocytes by Manual count";"";"";"";"LOINC:707-0";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48336-9\707-0\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils/100 leukocytes by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Basophils\Basophils/100 leukocytes by Manual count"
"4";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\";"Eosinophils";"";"";"";"LOINC:LP48337-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\26449-9\";"Eosinophils";"";"";"";"LOINC:26449-9";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\26449-9\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\26450-7\";"Eosinophils/100 leukocytes";"";"";"";"LOINC:26450-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\26450-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils/100 leukocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils/100 leukocytes"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\711-2\";"Eosinophils by Automated count";"";"";"";"LOINC:711-2";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\711-2\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\712-0\";"Eosinophils by Manual count";"";"";"";"LOINC:712-0";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\712-0\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils by Manual count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\713-8\";"Eosinophils/100 leukocytes by Automated count";"";"";"";"LOINC:713-8";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\713-8\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils/100 leukocytes by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils/100 leukocytes by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\714-6\";"Eosinophils/100 leukocytes by Manual count";"";"";"";"LOINC:714-6";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48337-7\714-6\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils/100 leukocytes by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Eosinophils\Eosinophils/100 leukocytes by Manual count"
"4";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\";"Lymphocytes";"";"";"";"LOINC:LP48347-6";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\26474-7\";"Lymphocytes";"";"";"";"LOINC:26474-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\26474-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\26478-8\";"Lymphocytes/100 leukocytes";"";"";"";"LOINC:26478-8";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\26478-8\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes/100 leukocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes/100 leukocytes"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\731-0\";"Lymphocytes by Automated count";"";"";"";"LOINC:731-0";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\731-0\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\732-8\";"Lymphocytes by Manual count";"";"";"";"LOINC:732-8";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\732-8\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes by Manual count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\736-9\";"Lymphocytes/100 leukocytes by Automated count";"";"";"";"LOINC:736-9";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\736-9\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes/100 leukocytes by Automated count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes/100 leukocytes by Automated count"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\737-7\";"Lymphocytes/100 leukocytes by Manual count";"";"";"";"LOINC:737-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48347-6\737-7\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes/100 leukocytes by Manual count";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Lymphocytes\Lymphocytes/100 leukocytes by Manual count"
"4";"\ACT\Labs\LP31756-7\LP30786-5\LP48349-2\";"Monocytes";"";"";"";"LOINC:LP48349-2";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48349-2\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Monocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Monocytes"
"5";"\ACT\Labs\LP31756-7\LP30786-5\LP48349-2\26484-6\";"Monocytes";"";"";"";"LOINC:26484-6";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP31756-7\LP30786-5\LP48349-2\26484-6\";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Monocytes\Monocytes";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Hematology/Coagulation\Hematology\Monocytes\Monocytes"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\5199-5\";"Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB)";"";"";"";"LOINC:5199-5";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP38332-0\5199-5\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB)";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB)"
