ACT_C_FULLNAME	OMOP_S_CONCEPT_ID	OMOP_NS_CONCEPT_ID	C_NAME	C_BASECODE	HPDS_PATH	type	values
\ACT\Demographics\Race\Asian\	38003595	38003595	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003596	38003596	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003597	38003597	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Black or African American\	8516	8516	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003598	38003598	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003599	38003599	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003600	38003600	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003601	38003601	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003602	38003602	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003603	38003603	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003604	38003604	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003605	38003605	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003606	38003606	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003607	38003607	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003608	38003608	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Black or African American\	38003609	38003609	Black or African American	DEM|RACE:B	\ACT Demographics\Race\	categorical	Black or African American
\ACT\Demographics\Race\Multiple race\	-1	-1	Multiple race	DEM|RACE:M	\ACT Demographics\Race\	categorical	Multiple race
\ACT\Demographics\Race\Native Hawaiian or Other Pacific Islander\	8557	8557	Native Hawaiian or Other Pacific Islander	DEM|RACE:H	\ACT Demographics\Race\	categorical	Native Hawaiian or Other Pacific Islander
\ACT\Demographics\Race\Native Hawaiian or Other Pacific Islander\	38003610	38003610	Native Hawaiian or Other Pacific Islander	DEM|RACE:H	\ACT Demographics\Race\	categorical	Native Hawaiian or Other Pacific Islander
\ACT\Demographics\Race\Native Hawaiian or Other Pacific Islander\	38003611	38003611	Native Hawaiian or Other Pacific Islander	DEM|RACE:H	\ACT Demographics\Race\	categorical	Native Hawaiian or Other Pacific Islander
\ACT\Demographics\Race\Native Hawaiian or Other Pacific Islander\	38003612	38003612	Native Hawaiian or Other Pacific Islander	DEM|RACE:H	\ACT Demographics\Race\	categorical	Native Hawaiian or Other Pacific Islander
\ACT\Demographics\Race\Native Hawaiian or Other Pacific Islander\	38003613	38003613	Native Hawaiian or Other Pacific Islander	DEM|RACE:H	\ACT Demographics\Race\	categorical	Native Hawaiian or Other Pacific Islander
\ACT\Demographics\Race\No Information\	0	0	No Information	DEM|RACE:NI	\ACT Demographics\Race\	categorical	No Information
\ACT\Demographics\Race\White\	8527	8527	White	DEM|RACE:W	\ACT Demographics\Race\	categorical	White
\ACT\Demographics\Race\White\	38003614	38003614	White	DEM|RACE:W	\ACT Demographics\Race\	categorical	White
\ACT\Demographics\Race\White\	38003615	38003615	White	DEM|RACE:W	\ACT Demographics\Race\	categorical	White
\ACT\Demographics\Race\White\	38003616	38003616	White	DEM|RACE:W	\ACT Demographics\Race\	categorical	White
\ACT\Demographics\Sex\Ambiguous\	8570	8570	Ambiguous	DEM|SEX:A	\ACT Demographics\Sex\	categorical	Ambiguous
\ACT\Demographics\Sex\Female\	8532	8532	Female	DEM|SEX:F	\ACT Demographics\Sex\	categorical	Female
\ACT\Demographics\Sex\Male\	8507	8507	Male	DEM|SEX:M	\ACT Demographics\Sex\	categorical	Male
\ACT\Demographics\Sex\No Information\	8551	8551	No Information	DEM|SEX:NI	\ACT Demographics\Sex\	categorical	No Information
\ACT\Demographics\Sex\Other\	8521	8521	Other	DEM|SEX:O	\ACT Demographics\Sex\	categorical	Other
\ACT\Demographics\Vital Status\Known Deceased\	45885033	45885033	Known Deceased	DEM|VITAL STATUS:D	\ACT Demographics\Vital Status\	categorical	Known Deceased
